Subject Number,Stimulus Feature,Congruency,Key Press,Reaction Time,Accuracy
1,4,2,2,0.6614,1
1,4,2,2,0.53253,1
1,4,2,2,0.46948,1
1,2,2,1,0.85012,1
1,1,2,2,0.63483,1
1,2,2,1,0.54654,1
1,2,2,1,0.50259,1
1,2,2,1,0.52003,1
1,1,2,2,0.6573,1
1,3,2,1,0.7272,1
1,4,2,2,0.57207,1
1,1,2,2,0.83184,1
1,3,2,1,0.63574,1
1,1,2,2,0.60951,1
1,4,2,2,0.65941,1
1,4,2,2,0.49138,1
1,4,2,2,0.54901,1
1,2,2,1,0.92908,1
1,2,2,1,0.46985,1
1,3,2,2,1.0557,0
1,1,2,2,0.73637,1
1,3,2,1,0.75331,1
1,4,2,2,0.69122,1
1,2,2,1,1.894,1
1,3,2,1,0.59399,1
1,4,2,2,0.59471,1
1,1,2,1,0.94646,0
1,3,2,1,0.62233,1
1,4,2,2,0.57422,1
1,2,2,1,0.97785,1
1,1,2,2,0.51479,1
1,1,2,2,0.49977,1
1,3,2,1,0.57555,1
1,3,2,1,0.63442,1
1,4,2,2,0.5571,1
1,2,2,1,0.94416,1
1,3,2,1,0.66703,1
1,4,2,2,0.54464,1
1,2,2,1,1.2485,1
1,1,2,2,1.2286,1
1,1,2,1,0.67933,0
1,3,2,1,0.74807,1
1,1,2,1,0.68899,0
1,2,2,1,1.0849,1
1,4,2,2,0.6077,1
1,2,2,1,0.68359,1
1,1,2,2,0.60732,1
1,3,2,1,0.66424,1
1,2,2,1,1.009,1
1,1,2,2,0.49993,1
1,1,2,2,0.51078,1
1,4,2,2,0.64953,1
1,3,2,1,0.74549,1
1,2,2,1,0.74624,1
1,3,2,1,0.5423,1
1,3,2,1,0.52201,1
1,1,2,2,0.56592,1
1,1,2,2,0.50392,1
1,3,1,1,0.81803,1
1,3,1,1,0.49494,1
1,4,1,2,0.51152,1
1,3,1,2,0.50149,0
1,2,1,2,1.4874,1
1,2,1,2,0.51227,1
1,2,1,2,0.47318,1
1,1,1,1,0.62505,1
1,3,1,1,0.47613,1
1,1,1,1,0.40885,1
1,2,1,2,0.49052,1
1,3,1,1,0.4935,1
1,4,1,2,0.46354,1
1,1,1,1,0.46711,1
1,1,1,1,0.36802,1
1,1,1,1,0.39386,1
1,1,1,1,0.36673,1
1,1,1,1,0.4188,1
1,1,1,1,0.51162,1
1,3,1,1,0.62052,1
1,1,1,1,0.46836,1
1,2,1,2,0.46918,1
1,3,1,1,0.47897,1
1,2,1,2,0.6967,1
1,4,1,2,0.61372,1
1,3,1,1,0.58473,1
1,4,1,2,0.50528,1
1,1,1,1,0.47628,1
1,2,1,2,0.55997,1
1,3,1,1,0.54498,1
1,4,1,2,0.51577,1
1,1,1,1,0.55277,1
1,2,1,2,0.64743,1
1,1,1,1,0.53837,1
1,1,1,1,0.48329,1
1,2,1,2,0.57128,1
1,4,1,2,0.64295,1
1,1,1,1,0.59086,1
1,1,1,1,0.56765,1
1,3,1,1,0.82844,1
1,2,1,2,0.4873,1
1,4,1,2,0.60321,1
1,1,1,1,0.5058,1
1,3,1,1,0.59783,1
1,2,1,2,0.64936,1
1,3,1,2,0.50849,0
1,3,1,1,0.61431,1
1,2,1,2,0.53803,1
1,2,1,2,0.50477,1
1,2,1,2,0.45688,1
1,3,1,1,0.54676,1
1,1,1,1,0.72962,1
1,2,1,2,0.53551,1
1,2,1,2,0.47336,1
1,1,1,1,0.46025,1
1,2,1,2,0.51091,1
1,2,1,2,0.45068,1
1,2,1,2,0.49355,1
